t,traj_0,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9
9.899999999999999911e-01,2.131682486099571727e-01,2.277648553692080413e-01,2.030492675036232320e-01,8.828774422718224657e-02,1.739013519392630103e-01,3.243616350041841900e-01,2.167596484887597541e-01,1.903189817540363871e-01,3.071494041958264809e-01,3.312349484049805226e-01
1.000000000000000000e+00,2.476078660956372579e-01,2.120442132196517226e-01,1.709672004645097776e-01,6.259129412870753639e-02,2.175993614264560838e-01,4.353401969803065708e-01,2.538542184184511274e-01,3.057306144969120232e-01,3.334420145355044829e-01,3.155076830457307913e-01
1.010000000000000009e+00,2.593171432714371227e-01,2.131364036249953908e-01,1.626040759570136218e-01,9.134964064816498974e-02,1.709113800332640043e-01,4.048748324226121298e-01,2.340405242711290357e-01,1.826232773523223940e-01,2.317078876806921706e-01,3.242675655164998783e-01
1.020000000000000018e+00,2.608365207999787105e-01,1.346698594478410449e-01,1.424077815047888329e-01,1.295181307514506885e-01,2.944869111099266412e-01,3.406257326557990406e-01,4.470378835813746954e-01,1.410835424559224449e-01,4.785101449990193379e-01,2.088888793152662571e-01
1.030000000000000027e+00,1.908644105795667678e-01,2.115616538607132113e-01,1.521950129756274583e-01,6.603339183583230299e-02,1.005538697320861735e-01,4.113106713357488897e-01,1.512353227599748662e-01,5.000919286321534041e-02,2.789712829319617171e-01,3.335212582102738965e-01
1.040000000000000036e+00,2.134417136896242795e-01,1.691789402834463496e-01,1.379455480052300120e-01,9.571307502848939996e-02,1.720458882224489283e-01,3.517607867241754893e-01,2.489839542326442723e-01,1.163724135450346087e-01,3.280508496970496735e-01,2.706854717009196110e-01
1.050000000000000044e+00,2.388294532594354147e-01,1.363004841064130723e-01,1.210962494700912467e-01,1.128615145822269017e-01,1.837021608250214155e-01,3.459468431944535127e-01,3.745602299314860217e-01,3.958143013819374056e-01,4.155337322054729610e-01,2.211648558247714669e-01
1.060000000000000053e+00,1.114754418936387409e-01,1.800121725535759609e-01,1.132130173122954248e-01,5.710897508063871725e-02,1.520039140176244752e-01,3.700824935513449820e-01,2.398678823528296589e-01,2.414263453724362074e-01,2.886164022870945089e-01,2.955628735315548039e-01
1.070000000000000062e+00,1.608384753071009921e-01,1.591366734858208343e-01,8.995202369150454014e-02,4.211320678237299997e-02,1.721444933635163932e-01,3.490066576895826111e-01,1.362189948819581553e-01,1.041116893748499223e-01,2.770043271303682109e-01,2.633685582262145219e-01
1.080000000000000071e+00,1.200853800720608072e-01,1.723835431783731498e-01,9.875902238705788760e-02,5.676426985551643462e-02,9.127954345640608425e-02,2.382828084355799181e-01,1.433833025029752906e-01,5.549113366874208059e-02,2.325474334315810188e-01,2.862672147453662053e-01
