t,traj_0,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9
5.400000000000000355e-01,4.375437083771036365e-03,4.154088120085491220e-01,4.088089317664896361e-01,2.529216709878692737e-01,9.954736556630906785e-02,2.457276434125499898e-01,4.491583797912255260e-01,3.878041019680294466e-01,6.536166532147159591e-01,5.784623358640567092e-01
5.500000000000000444e-01,1.185281652318359302e-01,3.374787265280800308e-01,3.734252576253747069e-01,4.103723674288282108e-01,5.743413048076845273e-01,1.496823059815121093e-01,3.574625132098447899e-01,2.529148444069599377e-01,5.527615957465775720e-01,4.583327615961836354e-01
5.600000000000000533e-01,3.601763298250444754e-03,4.286548303685837058e-01,1.222270816298147572e-01,2.734166864609399172e-01,4.351473979480185300e-02,5.107918319271902430e-01,1.335703474050613238e-01,1.489041267880741315e-01,4.796636140565077588e-01,1.399223608850918565e-01
5.700000000000000622e-01,3.312573084174664367e-02,3.763284137616428326e-01,1.328344604839389320e-01,9.538214854885553040e-02,6.218562773745702765e-01,2.794517263053442058e-01,3.528031081348161346e-01,2.656266437032838157e-01,5.466127917967867900e-01,4.821328385117845325e-03
5.799999999999999600e-01,2.804625142493795062e-02,4.616012316657103765e-01,4.611516759807601229e-01,4.630465785125927880e-01,5.687366884874067718e-02,3.682000363373995611e-01,1.144838299256343561e-01,6.930239398475218637e-01,2.823876449372747510e-01,1.219097248824355800e-01
5.899999999999999689e-01,3.952038960166940340e-01,4.838729485243840056e-01,4.611306349469306287e-01,4.897379419708574044e-01,6.326842004125441399e-01,6.357830255292157284e-01,4.487889747964824982e-01,6.355971593876159620e-01,1.573244582843888739e-01,2.430958292296797052e-01
5.999999999999999778e-01,8.263899951335368366e-02,4.564786723885314590e-01,2.024772390522478760e-01,1.938925136548512174e-01,1.276023714368866024e-01,2.035382174875656758e-01,4.016444063628411554e-01,1.746974408005999568e-01,5.133234670371027430e-01,1.712943585050312745e-01
6.099999999999999867e-01,1.719757677655609635e-02,3.715035409971661484e-01,2.463814074547347466e-01,5.099841690777957154e-02,5.707540642228658978e-01,1.592264463363626537e-01,1.602499401601054640e-01,3.234950449139777362e-01,2.609127508857299049e-01,4.570284006165676871e-01
6.199999999999999956e-01,5.086851721019533534e-02,3.401923208855927583e-01,1.178672917468549103e-01,4.854708434400217265e-01,2.227204008615990549e-01,3.712007709552553325e-01,4.996580381796567050e-01,2.113806789874231318e-02,5.977888517800325485e-02,2.454225813056600258e-01
6.300000000000000044e-01,1.254591221999412989e-03,3.288931170437675022e-01,3.488651331904450426e-01,3.161284060838922549e-01,5.318839030599414874e-01,3.171514766434023191e-01,5.796672926482160371e-02,9.389063621457748032e-02,5.965962501792372308e-01,1.238418717225119731e-01
6.400000000000000133e-01,8.430634489606253501e-02,3.816542311391095121e-01,1.808713788278877022e-01,2.411831751987034977e-01,3.166682261708243518e-01,3.234117802897106819e-01,3.693570192791716389e-01,7.620672458467522836e-02,4.341427153675839201e-01,2.785799835803792202e-01
6.500000000000000222e-01,1.903826995995787710e-02,4.259513993008777755e-01,1.913970713340679974e-01,2.070530531497676852e-01,5.162861361747448363e-01,3.695622767670620479e-01,2.492872694930797217e-01,6.656503785934518858e-01,2.253347243429738300e-01,1.557734270549340216e-01
6.600000000000000311e-01,3.531362624815595486e-02,4.515225926751170182e-01,3.885255180229821859e-01,3.233629884764582241e-01,4.210792483170244793e-01,2.124502486022346870e-01,1.529698893073537513e-01,3.673463992074234019e-01,5.609722956430671648e-01,3.073045082875714984e-01
